VentaID,ClienteID,ProductoID,Cantidad,FechaVenta,Region
101,1058,514,6,2024-01-01,Oeste
102,1086,509,3,2024-01-02,Sur
103,1060,527,1,2024-01-03,Sur
104,1024,530,3,2024-01-04,Este
105,1063,527,6,2024-01-05,Este
106,1022,525,7,2024-01-06,Este
107,1070,517,5,2024-01-07,Este
108,1025,521,3,2024-01-08,Sur
109,1064,510,2,2024-01-09,Oeste
110,1024,504,2,2024-01-10,Sur
111,1100,515,3,2024-01-11,Este
112,1040,507,7,2024-01-12,Este
113,1043,524,9,2024-01-13,Oeste
114,1014,516,3,2024-01-14,Sur
115,1043,511,9,2024-01-15,Norte
116,1044,506,8,2024-01-16,Este
117,1016,501,9,2024-01-17,Oeste
118,1031,506,1,2024-01-18,Norte
119,1079,520,3,2024-01-19,Oeste
120,1024,515,6,2024-01-20,Norte
121,1063,524,8,2024-01-21,Sur
122,1033,526,4,2024-01-22,Norte
123,1009,517,7,2024-01-23,Norte
124,1086,526,2,2024-01-24,Norte
125,1078,515,4,2024-01-25,Oeste
126,1099,504,7,2024-01-26,Oeste
127,1092,514,2,2024-01-27,Norte
128,1093,512,2,2024-01-28,Norte
129,1086,504,8,2024-01-29,Sur
130,1043,515,7,2024-01-30,Este
131,1006,520,3,2024-01-31,Oeste
132,1089,501,3,2024-02-01,Este
133,1027,521,5,2024-02-02,Sur
134,1004,523,7,2024-02-03,Norte
135,1051,508,6,2024-02-04,Norte
136,1061,509,8,2024-02-05,Sur
137,1060,510,9,2024-02-06,Este
138,1076,510,7,2024-02-07,Este
139,1007,501,1,2024-02-08,Este
140,1090,503,2,2024-02-09,Oeste
141,1018,505,8,2024-02-10,Oeste
142,1011,524,1,2024-02-11,Oeste
143,1069,504,6,2024-02-12,Norte
144,1036,506,7,2024-02-13,Sur
145,1032,516,1,2024-02-14,Este
146,1057,504,4,2024-02-15,Sur
147,1093,530,8,2024-02-16,Sur
148,1095,511,9,2024-02-17,Este
149,1068,502,6,2024-02-18,Sur
150,1083,528,5,2024-02-19,Oeste
151,1044,523,9,2024-02-20,Norte
152,1082,511,3,2024-02-21,Este
153,1012,515,7,2024-02-22,Este
154,1001,512,2,2024-02-23,Este
155,1062,503,5,2024-02-24,Norte
156,1053,519,1,2024-02-25,Oeste
157,1010,507,7,2024-02-26,Norte
158,1023,510,4,2024-02-27,Norte
159,1055,509,7,2024-02-28,Oeste
160,1068,513,1,2024-02-29,Sur
161,1087,507,2,2024-03-01,Oeste
162,1019,523,3,2024-03-02,Sur
163,1010,517,8,2024-03-03,Este
164,1052,504,4,2024-03-04,Este
165,1049,504,7,2024-03-05,Norte
166,1055,529,1,2024-03-06,Sur
167,1092,529,6,2024-03-07,Sur
168,1011,510,3,2024-03-08,Sur
169,1095,516,8,2024-03-09,Norte
170,1002,502,5,2024-03-10,Este
171,1017,511,2,2024-03-11,Este
172,1052,504,7,2024-03-12,Oeste
173,1073,524,3,2024-03-13,Sur
174,1001,514,4,2024-03-14,Norte
175,1043,516,4,2024-03-15,Oeste
176,1040,503,1,2024-03-16,Sur
177,1030,520,8,2024-03-17,Este
178,1072,514,1,2024-03-18,Oeste
179,1097,517,3,2024-03-19,Este
180,1085,502,9,2024-03-20,Sur
181,1005,501,2,2024-03-21,Norte
182,1039,505,5,2024-03-22,Este
183,1004,515,3,2024-03-23,Sur
184,1100,529,6,2024-03-24,Sur
185,1015,504,4,2024-03-25,Este
186,1076,504,3,2024-03-26,Este
187,1065,511,4,2024-03-27,Sur
188,1015,506,4,2024-03-28,Oeste
189,1069,504,9,2024-03-29,Norte
190,1050,506,1,2024-03-30,Norte
191,1040,508,3,2024-03-31,Oeste
192,1084,526,7,2024-04-01,Este
193,1003,511,2,2024-04-02,Este
194,1011,504,1,2024-04-03,Oeste
195,1097,526,1,2024-04-04,Este
196,1051,524,8,2024-04-05,Norte
197,1047,526,6,2024-04-06,Sur
198,1098,507,6,2024-04-07,Sur
199,1049,511,3,2024-04-08,Norte
200,1051,514,8,2024-04-09,Oeste
201,1039,505,8,2024-04-10,Este
202,1045,502,7,2024-04-11,Norte
203,1061,512,5,2024-04-12,Norte
204,1074,525,4,2024-04-13,Este
205,1054,505,9,2024-04-14,Este
206,1055,507,3,2024-04-15,Norte
207,1053,526,5,2024-04-16,Este
208,1075,523,6,2024-04-17,Norte
209,1021,511,8,2024-04-18,Oeste
210,1073,524,8,2024-04-19,Este
211,1035,513,8,2024-04-20,Sur
212,1045,522,1,2024-04-21,Oeste
213,1050,523,1,2024-04-22,Sur
214,1039,508,4,2024-04-23,Sur
215,1032,526,4,2024-04-24,Este
216,1005,512,2,2024-04-25,Sur
217,1024,509,9,2024-04-26,Este
218,1026,506,2,2024-04-27,Oeste
219,1033,515,7,2024-04-28,Norte
220,1024,508,4,2024-04-29,Oeste
221,1028,516,2,2024-04-30,Este
222,1029,507,1,2024-05-01,Este
223,1027,516,8,2024-05-02,Sur
224,1080,501,9,2024-05-03,Sur
225,1084,522,3,2024-05-04,Oeste
226,1009,523,2,2024-05-05,Sur
227,1017,514,2,2024-05-06,Este
228,1067,513,7,2024-05-07,Este
229,1020,519,9,2024-05-08,Sur
230,1039,527,3,2024-05-09,Norte
231,1066,503,3,2024-05-10,Este
232,1053,525,2,2024-05-11,Sur
233,1055,510,5,2024-05-12,Oeste
234,1021,503,4,2024-05-13,Oeste
235,1058,519,5,2024-05-14,Norte
236,1048,505,2,2024-05-15,Oeste
237,1039,526,3,2024-05-16,Oeste
238,1020,526,4,2024-05-17,Oeste
239,1072,529,2,2024-05-18,Norte
240,1069,507,4,2024-05-19,Este
241,1069,502,1,2024-05-20,Sur
242,1035,520,4,2024-05-21,Sur
243,1011,503,4,2024-05-22,Sur
244,1097,524,5,2024-05-23,Este
245,1100,506,6,2024-05-24,Oeste
246,1065,520,6,2024-05-25,Norte
247,1063,523,7,2024-05-26,Este
248,1030,514,8,2024-05-27,Norte
249,1039,511,7,2024-05-28,Sur
250,1057,512,6,2024-05-29,Norte
251,1081,511,9,2024-05-30,Norte
252,1034,523,9,2024-05-31,Sur
253,1034,521,8,2024-06-01,Norte
254,1036,501,1,2024-06-02,Este
255,1007,528,8,2024-06-03,Sur
256,1061,510,7,2024-06-04,Oeste
257,1060,521,6,2024-06-05,Oeste
258,1094,518,1,2024-06-06,Oeste
259,1096,521,9,2024-06-07,Sur
260,1065,514,6,2024-06-08,Sur
261,1099,503,1,2024-06-09,Sur
262,1060,518,1,2024-06-10,Sur
263,1090,513,4,2024-06-11,Sur
264,1048,523,6,2024-06-12,Este
265,1093,511,9,2024-06-13,Norte
266,1019,511,4,2024-06-14,Sur
267,1030,527,9,2024-06-15,Norte
268,1015,527,1,2024-06-16,Norte
269,1051,524,6,2024-06-17,Este
270,1085,503,4,2024-06-18,Sur
271,1094,501,1,2024-06-19,Sur
272,1002,514,3,2024-06-20,Sur
273,1082,530,9,2024-06-21,Oeste
274,1068,517,9,2024-06-22,Oeste
275,1041,506,4,2024-06-23,Oeste
276,1051,502,6,2024-06-24,Sur
